Time [s],UART
0.000000000,0
1.853462744,1
1.854936980,0
1.854937964,1
1.854939960,0
1.854941940,1
1.854942944,0
1.854943932,1
1.854944932,0
1.854945920,1
1.854949532,0
1.854952508,1
1.854953508,0
1.854954500,1
1.854957488,0
1.854958476,1
1.854962088,0
1.854963072,1
1.854964076,0
1.854968044,1
1.854970040,0
1.854971028,1
1.854974636,0
1.854976616,1
1.854977616,0
1.854979596,1
1.854982584,0
1.854983572,1
1.854987180,0
1.854990156,1
1.854991156,0
1.854992144,1
1.854995132,0
1.854996120,1
1.854999728,0
1.855000716,1
1.855001716,0
1.855002704,1
1.855003704,0
1.855004692,1
1.855007684,0
1.855008672,1
1.855012284,0
1.855017248,1
1.855020236,0
1.855021224,1
1.855024832,0
1.855025816,1
1.855026820,0
1.855030784,1
1.855031784,0
1.855033764,1
1.855037368,0
1.855038356,1
1.855039356,0
1.855040344,1
1.855042336,0
1.855046300,1
1.855049908,0
1.855051888,1
1.855052888,0
1.855053872,1
1.855054872,0
1.855058840,1
1.855077592,0
1.855078576,1
1.855081564,0
1.855082552,1
1.855083552,0
1.855084536,1
1.855085540,0
1.855086524,1
1.855090136,0
1.855091120,1
1.855092120,0
1.855096088,1
1.855098084,0
1.855099068,1
1.855102676,0
1.855103660,1
1.855104660,0
1.855106640,1
1.855107640,0
1.855108628,1
1.855110620,0
1.855111608,1
1.855115216,0
1.855118192,1
1.855119192,0
1.855120180,1
1.855123168,0
1.855124152,1
1.855127764,0
1.855130736,1
1.855132732,0
1.855133716,1
1.855134716,0
1.855136700,1
1.855140308,0
1.855146264,1
1.855147264,0
1.855149248,1
5.913201636,0
5.913202620,1
5.913204616,0
5.913206592,1
5.913207596,0
5.913208584,1
5.913209584,0
5.913210572,1
5.913214184,0
5.913215172,1
5.913216172,0
5.913220144,1
5.913222140,0
5.913223128,1
5.913226740,0
5.913227728,1
5.913228732,0
5.913229716,1
5.913231712,0
5.913232700,1
5.913234696,0
5.913235684,1
5.913239296,0
5.913244264,1
5.913247252,0
5.913248240,1
5.913251852,0
5.913254832,1
5.913256828,0
5.913257816,1
5.913259812,0
5.913260800,1
5.913264412,0
5.913265400,1
5.913266404,0
5.913267392,1
5.913268392,0
5.913270376,1
5.913272372,0
5.913273360,1
6.006953416,0
6.006954404,1
6.006955408,0
6.006956392,1
6.006960384,0
6.006962364,1
6.006970828,0
6.006975792,1
6.006977784,0
6.006979768,1
6.006984308,0
6.006987280,1
6.006989272,0
6.006990260,1
6.006991260,0
6.006993240,1
6.006996848,0
6.007002804,1
6.007003800,0
6.007005780,1
6.024311036,0
6.024312020,1
6.024314012,0
6.024317976,1
6.024318976,0
6.024319964,1
6.024323568,0
6.024324552,1
6.024328532,0
6.024329516,1
6.024331508,0
6.024332492,1
6.024336100,0
6.024338076,1
6.024341060,0
6.024342048,1
6.024344040,0
6.024345028,1
6.024348636,0
6.024350616,1
6.024352604,0
6.024353592,1
6.024356580,0
6.024357564,1
6.024361172,0
6.024362160,1
6.024363164,0
6.024364152,1
6.024365152,0
6.024367132,1
6.024369128,0
6.024370116,1
6.024373724,0
6.024375704,1
6.024376704,0
6.024378684,1
6.024381672,0
6.024382660,1
6.024386268,0
6.024389244,1
6.024390240,0
6.024391232,1
6.024394220,0
6.024395208,1
6.024398816,0
6.024401792,1
6.024403784,0
6.024404776,1
6.024405772,0
6.024407756,1
6.024411364,0
6.024417324,1
6.024418324,0
6.024420312,1
6.025206440,0
6.025207424,1
6.025208428,0
6.025209416,1
6.025211412,0
6.025213392,1
6.025214392,0
6.025215376,1
6.025218988,0
6.025219976,1
6.025220976,0
6.025222956,1
6.025223956,0
6.025224948,1
6.025226940,0
6.025227928,1
6.025231540,0
6.025233520,1
6.025236508,0
6.025237496,1
6.025239488,0
6.025240476,1
6.025244084,0
6.025245072,1
6.025246072,0
6.025247060,1
6.025249052,0
6.025251032,1
6.025252032,0
6.025253020,1
6.025256628,0
6.025257616,1
6.025258616,0
6.025259600,1
6.025260600,0
6.025262580,1
6.025264572,0
6.025265560,1
6.025269168,0
6.025270152,1
6.025271152,0
6.025275120,1
6.025277116,0
6.025278104,1
6.025281708,0
6.025283692,1
6.025286676,0
6.025287664,1
6.025289656,0
6.025290640,1
6.025294244,0
6.025295232,1
6.025296232,0
6.025297216,1
6.025299212,0
6.025301188,1
6.025302188,0
6.025303176,1
6.025306784,0
6.025307768,1
6.025308768,0
6.025312732,1
6.025314724,0
6.025315712,1
6.025319316,0
6.025323284,1
6.025327260,0
6.025328248,1
6.025331856,0
6.025332844,1
6.025333844,0
6.025334832,1
